需求编号,来源章节,原子需求,工作包,实现位置,自动化验证,页面验证,状态,证据位置,产品确认人及版本
SCP-01,用户完整方案第1节,只修改两个页面及直接相关范围，不吸收既有无关改动,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts；src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,本次文件边界及差异人工复核,仅本次命名路由与详情、打印,已验证,output/playwright/process-order-review/task-files.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
REL-01,用户完整方案第2节,需求来源和实际上游供料分别表达,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts,check-preparation-real-receipt-chain；check-process-order-three-axis-flow,列表与详情分列标注需求、上游、下道、接收单位、接收仓；无关系不猜测,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
REL-02,用户完整方案第2节,下道工序与实际接收单位仓库分别表达,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts,check-preparation-real-receipt-chain；check-process-order-three-axis-flow,列表与详情分列标注需求、上游、下道、接收单位、接收仓；无关系不猜测,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
REL-03,用户完整方案第2节,按业务标识和交接依据关联，不按名称猜测,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts,check-preparation-real-receipt-chain；check-process-order-three-axis-flow,列表与详情分列标注需求、上游、下道、接收单位、接收仓；无关系不猜测,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
REL-04,用户完整方案第2节,保留指定接收对象及历史交接事实,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts,check-preparation-real-receipt-chain；check-process-order-three-axis-flow,列表与详情分列标注需求、上游、下道、接收单位、接收仓；无关系不猜测,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
LAY-01,用户完整方案第3节,标题筛选摘要工具栏分页顺序统一,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,1366/1280列表结构与单行摘要,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/printing-1366.png,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
LAY-02,用户完整方案第3节,删除重复表格标题，不新增Tab或常驻流程图,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,1366/1280列表结构与单行摘要,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/printing-1366.png,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
COL-01,用户完整方案第4节,两页统一七个业务列且选择框并入第一列,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,两页7列；状态默认可见；源列与数量列合并,已验证,output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
COL-02,用户完整方案第4节,投入来源合入加工投入／上游,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,两页7列；状态默认可见；源列与数量列合并,已验证,output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
COL-03,用户完整方案第4节,加工产出合入加工产出／下游,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,两页7列；状态默认可见；源列与数量列合并,已验证,output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
COL-04,用户完整方案第4节,删除独立数量进度列且数字不重复,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,两页7列；状态默认可见；源列与数量列合并,已验证,output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
ID-01,用户完整方案第5节,加工单号打开详情,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,单号/查看进入详情；商品与物料同块；备货计划身份明确,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
ID-02,用户完整方案第5节,商品图片与名称同块且编号可完整查看,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,单号/查看进入详情；商品与物料同块；备货计划身份明确,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
ID-03,用户完整方案第5节,需求标签及来源单可追溯,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,单号/查看进入详情；商品与物料同块；备货计划身份明确,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
ID-04,用户完整方案第5节,备货无商品时用真实物料身份，不伪造商品,D/P/V,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list,单号/查看进入详情；商品与物料同块；备货计划身份明确,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
