7:## 2026-09-25 验收继续执行
13:| W0 | 上游生产单、运行任务及有效分配按记录迁移，同数据库CAS保护票/交出 | production-context-records.ts、production-orders.ts、runtime-process-tasks.ts、effective-task-assignments.ts、对应保存入口 | 禁用旧存储/中断/冲突/失败/刷新/备份恢复，读写不依赖旧键 |
14:| W1/W4 | 真实分配改派、多任务/面料、角色、自行裁剪边界 | 原来源和交出模块及实际页面 | 正常和阻断场景均重放，不以直接调用代替可见入口 |
15:| W2/W3/W5 | 票/袋/历史/打印各端完整回归 | 已列明页面及PDA/打印入口 | 命名路径、图片、尺寸与异常恢复 |
16:| W6 | 冷启动缺陷和完整交互计时、矩阵闭环 | warehouse-hub.ts及直接读链；浏览器证据与92条矩阵 | 当前同版本证据，保留所有慢样本；每条逐项结论 |
18:## 当前判定
24:| W0 存储和事务 | 实施中 | 生产来源7类、部位票6旧键、裁后管理事件同库记录级事务；关联附件Blob与引用；迁移/CAS/幂等/备份 | 真实入口最终同版回归和存储禁用完整交出验证正在执行 |
25:| W1 范围和身份 | 已实现待验证 | 裁床分配派生初始票；固定 5 Yard；含朴排除；任务 SKU 用料；唯一票/增票/改派失效 | 全部真实改派、并发、资料错误和恢复场景页面证据 |
26:| W2 列表与打印 | 已实现待验证 | 标准列表、图片、选择、新增、首打/补打、部分出纸确认、HPB 标签 | 全部列偏好/多单分页、实物打印 |
27:| W3 混装与重装 | 已实现待验证 | 三类类型及单位、扫码/占用、原子重装/交出 | 全部移出重装、回收、毛织与特殊工艺回归场景 |
28:| W4 交出门禁 | 已实现待验证 | 按任务+工厂的历史与本次并集；缺票阻断；与裁片同次；直接随交 | 所有角色、改派、后续批次、新增需料的实际入口重放 |
29:| W5 各端与历史 | 已实现待验证 | Web/PDA 袋详情、历史快照、货物标签、直接交出工厂接收详情 | 全部页面尺寸/历史周期打印/接收下游核对 |
30:| W6 验证闭环 | 实施中 | 专项、浏览器、性能原始记录；92 条矩阵 | 尚未满足完整验收门禁 |
32:## 实施决策和存储登记
48:## 当前证据索引
70:## 未关闭的问题
78:## 原子需求交付矩阵
84:| SCOPE-001 | 3.1／U15 | 三方自行裁剪任务不进入本流程 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
85:| SCOPE-002 | 3.1／U14 | 不开放独立换片布交出 | W4 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
86:| SCOPE-003 | 3.1／D | 保持现有裁片缺口政策 | W4 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
87:| SCOPE-004 | 3.2／G | 无权限角色不能确认仓管交出 | W4 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
88:| ORDER-001 | 4.1／U09 | 有效分配到裁床即出现订单行 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
89:| ORDER-002 | 4.1／U02 | 同生产单只出现一条主列表行 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
90:| ORDER-003 | 4.1／U10 | 每种合格面料仅生成一张初始票 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
91:| ORDER-004 | 4.1／D | 资料缺失保留待核对行 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
92:| ORDER-005 | 4.2／U09 | 改派移出后原裁床待办消失 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
93:| ORDER-006 | 4.2／D02 | 改派后旧页面不能继续提交 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
94:| ORDER-007 | 4.2／D02 | 已交出历史不因改派被抹除 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / listReplacementFabricOrderRows；src/data/fcs/cutting/replacement-fabric-repository.ts / replacementStateFromRecords | E01；真实改派并发尚待完整浏览器重放 | E05；改派/缺资料待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
