需求编号,来源文档和章节,原子需求,对应实施工作包,实现文件或符号,自动化验证,页面PDA打印或性能验证,当前状态,证据链接或位置,产品确认人,确认版本
SCOPE-001,product-design.md 第01节,菜单位于DDS供应链域并与物料监控与决策并列,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SCOPE-002,product-design.md 第01节,新增菜单正式名称为生产与履约时效,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SCOPE-003,product-design.md 第01节,DDS不替代来源系统执行采购收发及质检事实,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SCOPE-004,product-design.md 第01/02.1/20.2节；source-alignment-v3.md 第1/4节,当前来源原型记录与独立规则示例明确分开，不宣称接通线上；顶部不再展示Mock标签,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SOURCE-001,product-design.md 第02节,准备单通过显式需求关系关联，不按SPU猜任务,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SOURCE-002,product-design.md 第02节,当前专业任务类型和复用规则用于工作适用判断,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SOURCE-003,product-design.md 第02节,采购下单SKU覆盖不能作为足量到厂完成证据,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SOURCE-004,product-design.md 第02节,提前加工单匹配后保留同一工作与来源，不重复创建计时,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
SOURCE-005,product-design.md 第02节,本模块不得继承旧车缝排除周日的计时规则,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
OBJECT-001,product-design.md 第03节,商品采购与1比1需求只形成一个生产任务,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
