源文档,原始行号,所属章节,行意图,对应需求ID或背景,审阅结论,问题ID,原文,审阅范围,源快照SHA256
product-design.md,1,文首,组织文档或图表语法：DDS 供应链域「生产与履约时效」产品设计方案,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,# DDS 供应链域「生产与履约时效」产品设计方案,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,3,文首,声明版本、设计边界和配套文档｜本行：版本：V1.0 设计评审稿｜日期：2026-09-17｜代码依据：main @ 4804328a822eec3c77eee1ffa5b10911,背景／EVIDENCE-002,历史设计稿说明合理，但与末尾当前交付状态需统一,F14,版本：V1.0 设计评审稿｜日期：2026-09-17｜代码依据：main @ 4804328a822eec3c77eee1ffa5b10911bb77c9fe,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,5,文首,声明版本、设计边界和配套文档｜本行：本次交付为产品设计、演示数据、静态图示、实施计划与需求追踪，不代表功能已经实现。所有带 MOCK 前缀的单号、人员、时间、数量、产能、时长均为设,背景／EVIDENCE-002,历史设计稿说明合理，但与末尾当前交付状态需统一,F14,本次交付为产品设计、演示数据、静态图示、实施计划与需求追踪，不代表功能已经实现。所有带 MOCK 前缀的单号、人员、时间、数量、产能、时长均为设计演示。用户本轮确认的事实优先于旧方案和代码；文档中的操作描述不是执行授权。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,7,文首,声明版本、设计边界和配套文档｜本行：配套材料：[完整 Mock 数据与算例](mock-scenarios.md) · [机器可读数据](mock-data.json) · [工作,背景／EVIDENCE-002,历史设计稿说明合理，但与末尾当前交付状态需统一,F14,配套材料：[完整 Mock 数据与算例](mock-scenarios.md) · [机器可读数据](mock-data.json) · [工作项目录](work-item-catalog.md) · [实施计划](implementation-plan.md) · [需求矩阵](requirements-matrix.csv) · [设计核验](design-review.md),仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,9,文首,声明版本、设计边界和配套文档｜本行：快速查看：[跟单首屏图示](assets/follower-overview.png) · [31项完整甘特图](assets/task-tim,背景／EVIDENCE-002,历史设计稿说明合理，但与末尾当前交付状态需统一,F14,快速查看：[跟单首屏图示](assets/follower-overview.png) · [31项完整甘特图](assets/task-timeline.png) · [260条需求索引](requirements-index.md) · [来源代码与资料索引](source-index.md),仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,11,01. 产品定位、菜单与范围,组织文档或图表语法：01. 产品定位、菜单与范围,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,## 01. 产品定位、菜单与范围,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,13,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：建议正式名称为 **生产与履约时效**。它同时覆盖生产任务从下单到实发的过程，以及实际发货所对应客户订单的时效结果；中文“与”比“&”更适合现有,SCOPE-001/002/003,条文成立；本次仅确认设计语义，当前实现需另核对,,建议正式名称为 **生产与履约时效**。它同时覆盖生产任务从下单到实发的过程，以及实际发货所对应客户订单的时效结果；中文“与”比“&”更适合现有后台菜单。位于 **数据决策系统 DDS → 供应链域**，与已有的“物料监控与决策”并列。不要挂在该物料模块内部，也不另建一套采购、调拨、质检或发货操作系统。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,15,01. 产品定位、菜单与范围,组织文档或图表语法：text,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```text,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,16,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：数据决策系统 DDS,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,数据决策系统 DDS,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,17,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：└─ 供应链域,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,└─ 供应链域,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
