需求编号,来源文档和章节,原子需求,对应实施工作包,实现文件或符号,自动化验证,页面PDA打印或性能验证,当前状态,证据链接或位置,产品确认人,确认版本
SCOPE-001,product-design.md 第01节,菜单位于DDS供应链域并与物料监控与决策并列,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SCOPE-002,product-design.md 第01节,新增菜单正式名称为生产与履约时效,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SCOPE-003,product-design.md 第01节,DDS不替代来源系统执行采购收发及质检事实,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SCOPE-004,product-design.md 第01节,原型演示明确标记Mock，不宣称已经接通线上,WP07,src/pages/production-fulfillment/common.ts、index.ts；src/data/app-shell-config.ts；src/router/routes.ts,scripts/check-dds-production-fulfillment.mjs：九类路由/角色读取/Mock提示,九类路由；overview-1366.png；adjacent-regression.json；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SOURCE-001,product-design.md 第02节,准备单通过显式需求关系关联，不按SPU猜任务,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SOURCE-002,product-design.md 第02节,当前专业任务类型和复用规则用于工作适用判断,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SOURCE-003,product-design.md 第02节,采购下单SKU覆盖不能作为足量到厂完成证据,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SOURCE-004,product-design.md 第02节,提前加工单匹配后保留同一工作与来源，不重复创建计时,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
SOURCE-005,product-design.md 第02节,本模块不得继承旧车缝排除周日的计时规则,WP01,src/pages/production-fulfillment/fixtures.ts、catalog.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：源头/共享/自然日；tests/unit/production-fulfillment-boundary-evidence.test.ts：准备复用/提前加工匹配,001计算与版本 REUSE；001/006工作抽屉来源；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-001,product-design.md 第03节,商品采购与1比1需求只形成一个生产任务,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
